the_geom,cartodb_id,_user,plz,einwohner,promille
,427,89,494,183771,0.48
,428,102,495,148756,0.69
,429,53,496,134812,0.39
,430,67,497,136181,0.49
,431,62,498,122906,0.5
,434,149,501,166088,0.9
,435,141,502,102681,1.37
,436,227,503,182921,1.24
,438,915,506,121576,7.53
,439,491,507,189226,2.59
,440,706,508,146648,4.81
,441,713,509,190039,3.75
,442,399,510,144852,2.75
,443,424,511,213660,1.98
